ID,Name,Description,Media_Type,Download_URL,Path_In_Zip,version,Size,Length,Contribution_ID,Date_Updated
6b6f426bde1002c36000da951645bf85,annotation-notes.pdf,,application/pdf,media/annotation-notes.pdf,,,165584,,,
e7f4444c949de4d6b3f8fa490d7601cf,image.jpg,,image/jpeg,media/image.jpg,,,85958,,,
19a11e2dd736772c2c4e60fc5c9729aa,metadata.pdf,,application/pdf,media/metadata.pdf,,,254252,,,
f79ddf3839bb1c270ec95e7498f80b6d,translated-texts.pdf,,application/pdf,media/translated-texts.pdf,,,215004,,,
jitros_eaf,mc_cypgreek_jitros.eaf,,application/eaf+xml,media/mc_cypgreek_jitros.eaf,,,1163941,,jitros,
jitros_xml,mc_cypgreek_jitros.xml,,application/xml,media/mc_cypgreek_jitros.xml,,,410802,,jitros,
jitros_tsv,mc_cypgreek_jitros.tsv,,text/tab-separated-values,media/mc_cypgreek_jitros.tsv,,,77711,,jitros,
inaes_eaf,mc_cypgreek_minaes.eaf,,application/eaf+xml,media/mc_cypgreek_minaes.eaf,,,1591702,,minaes,
inaes_xml,mc_cypgreek_minaes.xml,,application/xml,media/mc_cypgreek_minaes.xml,,,563922,,minaes,
inaes_tsv,mc_cypgreek_minaes.tsv,,text/tab-separated-values,media/mc_cypgreek_minaes.tsv,,,105835,,minaes,
sarin_eaf,mc_cypgreek_psarin.eaf,,application/eaf+xml,media/mc_cypgreek_psarin.eaf,,,1750480,,psarin,
sarin_xml,mc_cypgreek_psarin.xml,,application/xml,media/mc_cypgreek_psarin.xml,,,618039,,psarin,
sarin_tsv,mc_cypgreek_psarin.tsv,,text/tab-separated-values,media/mc_cypgreek_psarin.tsv,,,116109,,psarin,
