corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
cypgreek	jitros	0001	#	#	##	##				
cypgreek	jitros	0001	mian	a.F	ln	ln				
cypgreek	jitros	0001	foran	time	np:other	np		other		
cypgreek	jitros	0001	ishen	had-3SG	other:predex	other		predex		
cypgreek	jitros	0001	enan	a.M	ln	ln				
cypgreek	jitros	0001	vasilean	king	np.h:s	np	h	s	1001	new
cypgreek	jitros	0002	#	#	##	##				
cypgreek	jitros	0002	0	0_he	0.h:a	0	h	a	1001	
cypgreek	jitros	0002	ishen	had-3SG	v:pred	v		pred		
cypgreek	jitros	0002	enan	a.M	ln	ln				
cypgreek	jitros	0002	yon	son	np.h:p	np	h	p	1002	new
cypgreek	jitros	0003	#	#	##	##				
cypgreek	jitros	0003	0	0_he	0.h:a	0	h	a	1001	
cypgreek	jitros	0003	ekamen	made-3SG	v:pred	v		pred		
cypgreek	jitros	0003	=ton	=him	=pro.h:p	=pro	h	p	1002	
cypgreek	jitros	0003	dheka	ten	ln	ln				
cypgreek	jitros	0003	xronon	years	np:other	np		other		
cypgreek	jitros	0003	#	#	#	#				
cypgreek	jitros	0003	0	0_he	0.h:s	0	h	s	1002	
cypgreek	jitros	0003	epiennen	went-3SG	v:pred	v		pred		
cypgreek	jitros	0003	skolion	to_school	np:g	np		g		
cypgreek	jitros	0004	#	#	##	##				
cypgreek	jitros	0004	0	0_he	0.h:a	0	h	a	1001	
cypgreek	jitros	0004	ekamen	made-3SG	v:pred	v		pred		
cypgreek	jitros	0004	=ton	=him	=pro.h:p	=pro	h	p	1002	
cypgreek	jitros	0004	dhekapende	fifteen	ln	ln				
cypgreek	jitros	0004	xronon	years	np:other	np		other		
cypgreek	jitros	0004	#	#	#	#				
cypgreek	jitros	0004	0	0_he	0.h:s	0	h	s	1002	
cypgreek	jitros	0004	epiennen	went-3SG	v:pred	v		pred		
cypgreek	jitros	0004	skolion	to_school	np:g	np		g		
cypgreek	jitros	0005	#	#	#ac	#ac				
cypgreek	jitros	0005	molis	as_soon_as	other	other				
cypgreek	jitros	0005	0	0_he	0.h:s	0	h	s	1002	
cypgreek	jitros	0005	eyinin	became-3SG	cop	cop				
cypgreek	jitros	0005	ikosi	twenty	ln	ln				
cypgreek	jitros	0005	xronon	years	np:pred	np		pred		
cypgreek	jitros	0005	#	#	#	#				
cypgreek	jitros	0005	0	0_he	0.h:a	0	h	a	1002	
cypgreek	jitros	0005	ekamnen	made-3SG	v:pred	v		pred		
cypgreek	jitros	0005	peripaton	walk	np:p	np		p		
cypgreek	jitros	0005	mes	in	adp	adp				
cypgreek	jitros	0005	to	the	ln	ln				
cypgreek	jitros	0005	palatin	palace	np:l	np		l	1003	new
cypgreek	jitros	0005	tu	the	rn	rn				
cypgreek	jitros	0005	patera	father	rn_np:poss	rn_np		poss	1001	
cypgreek	jitros	0005	tu	his	rn_pro.h:poss	rn_pro	h	poss	1002	
cypgreek	jitros	0006	#	#	##	##				
cypgreek	jitros	0006	mian	a.F	ln	ln				
cypgreek	jitros	0006	imeran	day	np:other	np		other		
cypgreek	jitros	0006	epien	went-3SG	v:pred	v		pred		
cypgreek	jitros	0006	i	the	ln	ln				
cypgreek	jitros	0006	dhula	servant	np.h:s	np	h	s	1004	new
cypgreek	jitros	0006	#	#	#	#				
cypgreek	jitros	0006	je	and	other	other				
cypgreek	jitros	0006	0	0_she	0.h:a	0	h	a	1004	
cypgreek	jitros	0006	ivren	found-3SG	v:pred	v		pred		
cypgreek	jitros	0006	=ton	=him	=pro.h:p	=pro	h	p	1002	
cypgreek	jitros	0006	#	#	#	#				
cypgreek	jitros	0006	je	and	other	other				
cypgreek	jitros	0006	0	0_he	0.h:s	0	h	s	1002	
cypgreek	jitros	0006	itun	was-3SG	cop	cop				
cypgreek	jitros	0006	mes	in	adp	adp				
cypgreek	jitros	0006	sto	to_the	ln	ln				
cypgreek	jitros	0006	stroman	mattress	np:pred_l	np		pred_l	1005	new
cypgreek	jitros	0006	#	#	#	#				
cypgreek	jitros	0006	j	and	other	other				
cypgreek	jitros	0006	0	0_he	0.h:s	0	h	s	1002	
cypgreek	jitros	0006	eppeften	lied-3SG	v:pred	v		pred		
cypgreek	jitros	0007	#	#	##ds	##ds				
cypgreek	jitros	0007	0	0_you	0.2:s	0	2	s	1002	
cypgreek	jitros	0007	anu	get_up-2SG	imp_v:pred	imp_v		pred		
cypgreek	jitros	0007	pedhin	child	np.h:voc	np	h	voc	1002	
cypgreek	jitros	0007	#	#	#ds	#ds				
cypgreek	jitros	0007	j	and	other	other				
cypgreek	jitros	0007	0	0_I	0.1:a	0	1	a	1004	
cypgreek	jitros	0007	efera	brought-1SG	v:pred	v		pred		
cypgreek	jitros	0007	=su	=to_you	=pro.2:g	=pro	2	g	1002	
cypgreek	jitros	0007	to	the	ln	ln				
cypgreek	jitros	0007	mbukkoman	breakfast	np:p	np		p	1006	new
cypgreek	jitros	0008	#	#	##neg	##neg				
cypgreek	jitros	0008	0	0_he	0.h:s	0	h	s	1002	
cypgreek	jitros	0008	en	not	other	other				
cypgreek	jitros	0008	epoloithin	answered-3SG	v:pred	v		pred		
cypgreek	jitros	0009	#	#	##	##				
cypgreek	jitros	0009	0	0_she	0.h:a	0	h	a	1004	
cypgreek	jitros	0009	evalen	put-3SG	v:pred	v		pred		
cypgreek	jitros	0009	to	the	ln	ln				
cypgreek	jitros	0009	ghalan	milk	np:p	np		p	1007	new
cypgreek	jitros	0009	tu	his	rn_pro.h:poss	rn_pro	h	poss	1002	
cypgreek	jitros	0009	jame	there	other:g	other		g		
cypgreek	jitros	0009	to	the	ln	ln				
cypgreek	jitros	0009	mbukkoman	breakfast	rn_np	rn_np			1006	
cypgreek	jitros	0009	tu	his	rn_pro.h:poss	rn_pro	h	poss	1002	
cypgreek	jitros	0009	#	#	#	#				
cypgreek	jitros	0009	0	0_she	0.h:s	0	h	s	1004	
cypgreek	jitros	0009	epien	went-3SG	v:pred	v		pred		
cypgreek	jitros	0010	#	#	##	##				
cypgreek	jitros	0010	to	the	ln	ln				
cypgreek	jitros	0010	mesomerin	noon	np:other	np		other	1008	unused
cypgreek	jitros	0010	irten	came-3SG	v:pred	v		pred		
cypgreek	jitros	0010	i	the	ln	ln				
