corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
cypgreek	minaes	0001	#	#	##	##				
cypgreek	minaes	0001	mian	a.F	ln	ln				
cypgreek	minaes	0001	foran	time	np:other	np		other		
cypgreek	minaes	0001	ishen	had-3SG	other:predex	other		predex		
cypgreek	minaes	0001	mian	a.F	ln	ln				
cypgreek	minaes	0001	adherfin	sister	np.h:s	np	h	s	2001	new
cypgreek	minaes	0001	arkondissan	noblewoman	rn_np	rn_np				
cypgreek	minaes	0001	je	and	other	other				
cypgreek	minaes	0001	mian	a.F	ln	ln				
cypgreek	minaes	0001	ftoshin	poor	rn_np.h	rn_np	h		2002	new
cypgreek	minaes	0002	#	#	##	##				
cypgreek	minaes	0002	i	the	ln	ln				
cypgreek	minaes	0002	ftoshi	poor	np.h:a	np	h	a	2002	
cypgreek	minaes	0002	ishen	had-3SG	v:pred	v		pred		
cypgreek	minaes	0002	tria	three	ln	ln				
cypgreek	minaes	0002	pekk'a	children	np.h:p	np	h	p	2003	new
cypgreek	minaes	0002	mian	one	ln	ln				
cypgreek	minaes	0002	koruan	girl	np.h:appos	np	h	appos	2004	bridging
cypgreek	minaes	0002	je	and	other	other				
cypgreek	minaes	0002	dhk'o	two	ln	ln				
cypgreek	minaes	0002	pallikarka	boys	np.h:appos	np	h	appos	2005	bridging
cypgreek	minaes	0003	#	#	##	##				
cypgreek	minaes	0003	i	the	ln	ln				
cypgreek	minaes	0003	arkondissa	noblewoman	np.h:a	np	h	a	2001	
cypgreek	minaes	0003	monon	only	other	other				
cypgreek	minaes	0003	mian	one	ln	ln				
cypgreek	minaes	0003	koruan	girl	np.h:p	np	h	p	2006	new
cypgreek	minaes	0003	ishen	had-3SG	v:pred	v		pred		
cypgreek	minaes	0004	#	#	##	##				
cypgreek	minaes	0004	i	the	ln	ln				
cypgreek	minaes	0004	arkondissa	noblewoman	np.h:a	np	h	a	2001	
cypgreek	minaes	0004	epernen	took-3SG	v:pred	v		pred		
cypgreek	minaes	0004	=tin	=her	=pro.h:p	=pro	h	p	2002	
cypgreek	minaes	0004	kathimera	everyday	other	other				
cypgreek	minaes	0004	#	#	#	#				
cypgreek	minaes	0004	j	and	other	other				
cypgreek	minaes	0004	0	0_she	0.h:a	0	h	a	2002	
cypgreek	minaes	0004	ezimonnen	kneaded-3SG	v:pred	v		pred		
cypgreek	minaes	0004	=tis	=to.her	=pro.h:obl	=pro	h	obl	2001	
cypgreek	minaes	0004	psumia	bread	np:p	np		p	2007	new
cypgreek	minaes	0004	#	#	#	#				
cypgreek	minaes	0004	j	and	other	other				
cypgreek	minaes	0004	0	0_she	0.h:a	0	h	a	2001	
cypgreek	minaes	0004	epulen	sold-3SG	v:pred	v		pred		
cypgreek	minaes	0004	0	0_them	0:p	0		p	2050	bridging
cypgreek	minaes	0004	#	#	#neg	#neg				
cypgreek	minaes	0004	je	and	other	other				
cypgreek	minaes	0004	0	0_she	0.h:a	0	h	a	2001	
cypgreek	minaes	0004	then	not	other	other				
cypgreek	minaes	0004	=tis	=to.her	=pro.h:obl	=pro	h	obl	2002	
cypgreek	minaes	0004	eoken	gave-3SG	v:pred	v		pred		
cypgreek	minaes	0004	enan	a.M	ln	ln				
cypgreek	minaes	0004	vukkon	mouthful	np:p	np		p		
cypgreek	minaes	0004	psumin	bread	rn_np:poss	rn_np		poss	2051	bridging
cypgreek	minaes	0004	#	#	#ac	#ac				
cypgreek	minaes	0004	0	0_she	0.h:a	0	h	a	2002	
cypgreek	minaes	0004	na	that.MOD	nonindic	nonindic				
cypgreek	minaes	0004	0	0_it	0:p	0		p	2051	
cypgreek	minaes	0004	fai	eats-3SG	v:pred	v		pred		
cypgreek	minaes	0004	#	#	#neg	#neg				
cypgreek	minaes	0004	ute	neither	other	other				
cypgreek	minaes	0004	=jinis	=to.her	=pro.h:obl	=pro	h	obl	2002	
cypgreek	minaes	0004	ute	nor	other	other				
cypgreek	minaes	0004	ton	to.the	ln	ln				
cypgreek	minaes	0004	moron	children	np.h:obl	np	h	obl	2003	
cypgreek	minaes	0004	tis	her	rn_pro.h:poss	rn_pro	h	poss	2002	
cypgreek	minaes	0005	#	#	##	##				
cypgreek	minaes	0005	monon	only	other	other				
cypgreek	minaes	0005	eminiskan	stayed-3PL	v:pred	v		pred		
cypgreek	minaes	0005	sta	to.the	ln	ln				
cypgreek	minaes	0005	sherka	hands	np:obl	np		obl	2008	bridging
cypgreek	minaes	0005	tis	her	rn_pro.h:poss	rn_pro	h	poss	2002	
cypgreek	minaes	0005	ta	the	ln	ln				
cypgreek	minaes	0005	zimarika	dough	np:s	np		s	2009	bridging
cypgreek	minaes	0005	je	and	other	other				
cypgreek	minaes	0005	ta	the	ln	ln				
cypgreek	minaes	0005	mandilia	handkerchiefs	rn_np:obl	rn_np		obl	2010	bridging
cypgreek	minaes	0005	tis	her	rn_pro.h:poss	rn_pro	h	poss	2002	
cypgreek	minaes	0005	me	with	adp	adp				
cypgreek	minaes	0005	ton	the	ln	ln				
cypgreek	minaes	0005	korn'axton	korn'axtos	np:obl	np		obl	2011	bridging
cypgreek	minaes	0005	#	#	#	#				
cypgreek	minaes	0005	j	and	other	other				
cypgreek	minaes	0005	0	0_she	0.h:s	0	h	s	2002	
cypgreek	minaes	0005	epiennen	went-3SG	v:pred	v		pred		
cypgreek	minaes	0005	kathi	every	ln	ln				
cypgreek	minaes	0005	nixta	night	np:other	np		other		
cypgreek	minaes	0005	#	#	#	#				
cypgreek	minaes	0005	j	and	other	other				
cypgreek	minaes	0005	0	0_she	0.h:a	0	h	a	2002	
cypgreek	minaes	0005	andinassen	shook-3SG	v:pred	v		pred		
