corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
cypgreek	psarin	0001	#	#	#nc	#nc				
cypgreek	psarin	0001	o	the	nc	nc				
cypgreek	psarin	0001	yos	son	nc	nc				
cypgreek	psarin	0001	tis	the	nc	nc				
cypgreek	psarin	0001	kojakaris	old_woman	nc	nc				
cypgreek	psarin	0001	pu	of	nc	nc				
cypgreek	psarin	0001	to	the	nc	nc				
cypgreek	psarin	0001	psarin	fish	nc	nc				
cypgreek	psarin	0002	#	#	##	##				
cypgreek	psarin	0002	mian	a.F	ln	ln				
cypgreek	psarin	0002	volan	time	np:other	np		other		
cypgreek	psarin	0002	ishen	had-3SG	other:predex	other		predex		
cypgreek	psarin	0002	mian	a.F	ln	ln				
cypgreek	psarin	0002	kojakarin	old_woman	np.h:s	np	h	s	3001	new
cypgreek	psarin	0002	#	#	#	#				
cypgreek	psarin	0002	j	and	other	other				
cypgreek	psarin	0002	0	0_she	0.h:a	0	h	a	3001	
cypgreek	psarin	0002	ishen	had-3SG	v:pred	v		pred		
cypgreek	psarin	0002	enan	a.M	ln	ln				
cypgreek	psarin	0002	yon	son	np.h:p	np	h	p	3002	new
cypgreek	psarin	0003	#	#	##	##				
cypgreek	psarin	0003	meran	day	other	other				
cypgreek	psarin	0003	nixtan	night	other	other				
cypgreek	psarin	0003	0	0_she	0.h:a	0	h	a	3001	
cypgreek	psarin	0003	ethk'akonan	begged-3SG	v:pred	v		pred		
cypgreek	psarin	0003	0	0_him	0.h:p	0	h	p	3002	
cypgreek	psarin	0003	#	#	#	#				
cypgreek	psarin	0003	j	and	other	other				
cypgreek	psarin	0003	0	0_she	0.h:a	0	h	a	3001	
cypgreek	psarin	0003	etaizen	fed-3SG	v:pred	v		pred		
cypgreek	psarin	0003	=ton	=him	=pro.h:p	=pro	h	p	3002	
cypgreek	psarin	0004	#	#	##	##				
cypgreek	psarin	0004	0	0_he	0.h:s	0	h	s	3002	
cypgreek	psarin	0004	einin	became-3SG	cop	cop				
cypgreek	psarin	0004	dhekapende	fifteen	ln	ln				
cypgreek	psarin	0004	ghronon	years	ln	ln				
cypgreek	psarin	0004	pallikarin	young_man	np.h:pred	np	h	pred		
cypgreek	psarin	0004	#	#	#	#				
cypgreek	psarin	0004	koma	still	other	other				
cypgreek	psarin	0004	0	0_she	0.h:a	0	h	a	3001	
cypgreek	psarin	0004	ethk'akonan	begged-3SG	v:pred	v		pred		
cypgreek	psarin	0004	0	0_him	0.h:p	0	h	p	3002	
cypgreek	psarin	0004	#	#	#	#				
cypgreek	psarin	0004	j	and	other	other				
cypgreek	psarin	0004	0	0_she	0.h:a	0	h	a	3001	
cypgreek	psarin	0004	etaizen	fed-3SG	v:pred	v		pred		
