ID,Source_Referent_ID,Target_Referent_ID,Relation
1,1013,1001,M
2,1019,1016,>
3,1019,1017,>
4,1026,1024,M
5,1038,1039,M
6,1040,1038,<
7,1041,1038,<
8,1041,1040,<
9,1044,1038,<
10,1044,1040,<
11,1045,1038,<
12,1045,1040,<
13,1049,1038,<
14,1049,1040,<
15,1052,1037,M
16,1057,1001,>
17,1057,1012,>
18,1059,1002,>
19,1059,1012,>
20,1073,1002,M
21,1079,1077,M
22,1080,1079,<
23,1081,1079,<
24,1081,1080,<
25,1084,1079,<
26,1084,1080,<
27,1085,1079,<
28,1085,1080,<
29,2004,2003,<
30,2005,2003,<
31,2008,2002,M
32,2016,2001,>
33,2016,2023,>
34,2021,2002,M
35,2035,2033,>
36,2035,2034,>
37,2038,2002,>
38,2038,2003,>
39,2044,2032,<
40,2049,2032,<
41,2050,2007,M
42,2051,2007,M
43,2055,2052,M
44,2056,2053,M
45,2057,2002,>
46,2057,2003,>
47,2070,2067,>
48,2070,2068,>
49,2070,2069,>
50,2088,2042,>
51,2088,2045,>
52,2088,2046,>
53,2088,2072,>
54,2088,2073,>
55,2088,2078,>
56,2088,2081,>
57,2088,2084,>
58,2088,2085,>
59,2088,2086,>
60,2088,2087,>
61,2092,2052,M
62,2092,2053,M
63,3003,3001,>
64,3003,3002,>
65,3013,3012,M
66,3035,3002,>
67,3035,3028,>
68,3039,3034,>
69,3039,3037,>
70,3041,3029,>
71,3041,3037,>
72,3059,3029,>
73,3059,3037,>
74,3059,3057,>
75,3059,3058,>
76,3086,3002,>
77,3086,3028,>
78,3095,3059,<
