refind,label,description,class,notes
∅,,,,
1001,king,father of 1002,hum,
1002,son,son of 1001,hum,
1003,palace,of 1001,loc,
1004,servant,,hum,
1005,mattress,,inm,
1006,breakfast,,inm,
1007,milk,,mss,
1008,noon,,tme,
1009,lunch,,inm,
1010,night,,tme,
1011,dinner,,inm,
1012,queen,mother of 1002,hum,
1013,heart,of 1001,bdp,
1014,staircase,,loc,
1015,it,,abs,
1016,workers,,hum,
1017,builders,,hum,
1018,tomorrow,,tme,
1019,they,,hum,
1020,kingdom,,loc,
1021,palace,for 1002,loc,
1022,fifteen days,,tme,
1023,balconies,,loc,
1024,terraces,,loc,
1025,apple,,inm,
1026,terrace,one of 1024,loc,
1027,breakfast,,inm,
1028,old woman,,hum,
1029,pot,,inm,
1030,fountain,,loc,
1031,daughter,of Jitros of Jitromilos,hum,
1032,breakfast,second breakfast,inm,
1033,lunch,second lunch,inm,
1034,dinner,second dinner,inm,
1035,news,,abs,
1036,messages,,abs,
1037,horse,of 1002,anm,
1038,eyes,of 1039,bdp,
1039,dragon,,anm,
1040,three,of 1038,bdp,
1041,one,first of 1040,bdp,
1042,water,request by 1043,mss,depicted reality
1043,she,the first girl,hum,
1044,other one,second of 1040,bdp,depicted reality
1045,two,of 1040,bdp,depicted reality
1046,other one,the second girl,hum,
1047,water,request by 1046,mss,depicted reality
1048,reservoir,,loc,
1049,her,third of 1040,inm,
1050,water,request by 1051,mss,depicted reality
1051,she,the third girl,hum,
1052,back,of the horse,bdp,
1053,wedding,,inm,
1054,dowry,,inm,
1055,things,,inm,
1056,queen,mother of 1002,hum,depicted reality
1057,us,parents of 1002,hum,depicted reality
1058,doctor,,hum,depicted reality
1059,we,queen and son,hum,depicted reality
1060,food,,mss,depicted reality
1061,other son,son of 1062,hum,depicted reality
1062,other king,father 1061,hum,depicted reality
1063,palace,of 1061,loc,depicted reality
1064,balcony,of 1061,loc,depicted reality
1065,terrace,of 1061,loc,depicted reality
1066,golden apple,of 1061,inm,depicted reality
1067,sword,of 1061,inm,depicted reality
1068,bible,of 1061,inm,depicted reality
1069,home,of 1028,loc,depicted reality
1070,daughter,of Jitros of Jitromilos,hum,depicted reality
1071,headache,,inm,depicted reality
1072,fiancée,,hum,depicted reality
1073,head,of 1002,bdp,depicted reality
1074,village,,loc,depicted reality
1075,reservoir,,loc,depicted reality
1076,bitter orange tree,,inm,depicted reality
1077,dragon,,anm,depicted reality
1078,horse,of 1002,anm,depicted reality
1079,eyes,of 1077,bdp,depicted reality
1080,three,of 1079,bdp,depicted reality
1081,one,first of 1080,bdp,depicted reality
1082,girl,the first girl,hum,depicted reality
1083,water,request by 1082,mss,depicted reality
1084,other one,second of 1080,bdp,depicted reality
1085,other one,third of 1080,bdp,depicted reality
1086,water,request by the third girl,mss,depicted reality
1087,dowry,,inm,depicted reality
1088,furniture,,inm,depicted reality
2001,rich sister,,hum,
2002,poor sister,,hum,
2003,three children,three children of the poor sister,hum,children of 002
2004,girl,daughter of the poor sister,hum,
2005,two boys,two sons of the poor sister,hum,
2006,girl,daughter of the rich sister,hum,child of 001
2007,bread,made by the poor sister for the rich sister,mss,
2008,hands,of the poor sister,bdp,
2009,dough,of the kneaded bread,mss,
2010,handkerchief,,inm,
2011,korn'axtos,,inm,
2012,apron,,inm,
2013,flour,,mss,
2014,ghruta,,mss,
2015,it,the food the poor sister makes from the rest of the kneaded bread,mss,
2016,they,the rich sister and her best woman,hum,
2017,milk,,mss,depicted reality
2018,tea,,mss,depicted reality
2019,kebab,,inm,depicted reality
2020,dust,,mss,depicted reality
2021,feet,of the poor sister,bdp,depicted reality
2022,headscarf,,inm,depicted reality
2023,best woman,of the rich sister,hum,
2024,home,of the poor sister,loc,
2025,fate,,abs,depicted reality
2026,home,,loc,depicted reality
2027,job,,inm,depicted reality
2028,house,,loc,depicted reality
2029,neighbour woman,of the poor sister,hum,
2030,bread,for the poor sister and her children,inm,
2031,tent,found by poor sister,loc,
2032,they,people living in the tent,hum,
2033,pie,for poor sister from 032,inm,
2034,olives,for poor sister from 032,inm,
2035,it,pie and olives,inm,
2036,bed,,inm,depicted reality
2037,neighbour woman,,hum,depicted reality
2038,we,mother and her children,hum,depicted reality
2039,bread,,inm,depicted reality
2040,pie,for the poor sister's children,inm,depicted reality
2041,olives,for the poor sister's children,inm,depicted reality
2042,January,,tme,depicted reality
2043,grass,,mss,depicted reality
2044,he,one of the 12 men in the tent,hum,
2045,February,,tme,depicted reality
2046,March,,tme,depicted reality
2047,bread,,mss,depicted reality
2048,wind,,mss,depicted reality
2049,he,one of the 12 men in the tent,hum,
2050,breads,some of the bread that the poor sister makes is sold by the rich sister,mss,
2051,bread,part of the bread that the poor sister makes and that is not given to her,mss,
2052,three pies,three pies for the poor sister and her children,inm,
2053,nine olives,nine olives for the poor sister and her children,inm,
2054,box,box full of gold coins for the poor sister and her children,inm,
2055,little piece,of the pies,inm,
2056,olive,one olive for the poor sister,inm,
2057,they,the poor sister and her children,hum,
2058,three,repentances,abs,
2059,ten,repentances,abs,
2060,bread,from the neighbor woman,inm,
2061,wheat,three kilos wheat from the neighbor woman,inm,
2062,bags,in poor sister's home,inm,
2063,night,,tme,
2064,box,for the rich sister,inm,
2065,morning,the morning when the rich sister opens the box,tme,
2066,house,other house where the rich sister opens the box,loc,
2067,snakes,coming out of the box,anm,
2068,monsters,coming out of the box,anm,
2069,coin snakes,coming out of the box,anm,
2070,they,"snakes, monsters and coin snakes out of the box",anm,
2071,seeds,,mss,depicted reality
2072,April,,tme,depicted reality
