ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Media_IDs,Position,Audio_Start,Audio_End,graid,add_orthography,Text_ID
jitros_0001,mccypgreek,Mian foran ishen enan vasilean.,#	Mian	foran	ishen	enan	vasilean,#	a_f	time	had-3sg	a_m	king,One time there was a king.,en,WORD_ALIGNED,,jitros_eaf jitros_xml jitros_tsv,,0,4000,##	ln	np:other	predex	ln	np.h:s,,jitros
jitros_0002,mccypgreek,Ishen enan yon.,#	0	Ishen	enan	yon,#	he_0	had-3sg	a_m	son,He had a son.,en,WORD_ALIGNED,,jitros_eaf jitros_xml jitros_tsv,,4000,8000,##	0.h:a	v:pred	ln	np.h:p,,jitros
jitros_0003,mccypgreek,"Ekamen ton dheka xronon,  epiennen skolion.",#	0	Ekamen	=ton	dheka	xronon	#	0	epiennen	skolion,#	he_0	made-3sg	=him	ten	years	#	he_0	went-3sg	to.school,"He raised him until he was ten years old, the boy went to school.",en,WORD_ALIGNED,,jitros_eaf jitros_xml jitros_tsv,,8000,12000,##	0.h:a	v:pred	=pro.h:p	ln	np:other	#	0.h:s	v:pred	np:g,,jitros
jitros_0004,mccypgreek,"Ekamen ton dhekapende xronon,  epiennen skolion.",#	0	Ekamen	=ton	dhekapende	xronon	#	0	epiennen	skolion,#	he_0	made-3sg	=him	fifteen	years	#	he_0	went-3sg	to.school,"He raised him until he was fifteen years old, the boy went to school.",en,WORD_ALIGNED,,jitros_eaf jitros_xml jitros_tsv,,12000,16000,##	0.h:a	v:pred	=pro.h:p	ln	np:other	#	0.h:s	v:pred	np:g,,jitros
jitros_0005,mccypgreek,"Molis eyinin ikosi xronon,  ekamnen peripaton mes to palatin tu patera tu.",#	Molis	0	eyinin	ikosi	xronon	#	0	ekamnen	peripaton	mes	to	palatin	tu	patera	tu,#	As.soon.as	he_0	became-3sg	twenty	years	#	he_0	made-3sg	walk	in	the	palace	the	father	his,"When he became twenty years old, he was taking a walk in his father's palace.",en,WORD_ALIGNED,,jitros_eaf jitros_xml jitros_tsv,,16000,20000,##ac	other	0.h:s	cop	ln	np:pred	#	0.h:a	v:pred	np:p	adp	ln	np:l	ln	np:poss	rn_pro.h:poss,,jitros
jitros_0006,mccypgreek,Mian imeran epien i dhula  je ivren ton  je itun mes sto stroman  j eppeften.,#	Mian	imeran	epien	i	dhula	#	je	0	ivren	=ton	#	je	0	itun	mes	sto	stroman	#	j	0	eppeften,#	a_f	day	went-3sg	the	servant	#	and	she_0	found-3sg	=him	#	and	he_0	was-3sg	in	to.the	mattress	#	and	he_0	lied-3sg,One day the servant went to him and found him lying down on his mattress.,en,WORD_ALIGNED,,jitros_eaf jitros_xml jitros_tsv,,20000,24000,##	ln	np:other	v:pred	ln	np.h:s	#	other	0.h:a	v:pred	=pro.h:p	#	other	0.h:s	cop	adp	ln	np:pred_l	#	other	0.h:s	v:pred,,jitros
jitros_0007,mccypgreek,"Anu, pedhin,  j efera su to mbukkoman.",#	0	Anu	pedhin	#	j	0	efera	=su	to	mbukkoman,#	you_0	get.up-2sg	child	#	and	I_0	brought-1sg	=to.you	the	breakfast,"Get up my child, I brought breakfast for you.",en,WORD_ALIGNED,,jitros_eaf jitros_xml jitros_tsv,,24000,28000,##ds	0.2:s	imp_v:pred	np.h:voc	#ds	other	0.1:a	v:pred	=pro.2:g	ln	np:p,,jitros
jitros_0008,mccypgreek,En epoloithin.,#	0	En	epoloithin,#	he_0	not	answered-3sg,neg He gave no answer.,en,WORD_ALIGNED,,jitros_eaf jitros_xml jitros_tsv,,28000,32000,##neg	0.h:s	other	v:pred,,jitros
jitros_0009,mccypgreek,"Evalen to ghalan tu jame, to mbukkoman tu,  epien.",#	0	Evalen	to	ghalan	tu	jame	to	mbukkoman	tu	#	0	epien,#	she_0	put-3sg	the	milk	his	there	the	breakfast	his	#	she_0	went-3sg,"She put his milk and breakfast there, and she went.",en,WORD_ALIGNED,,jitros_eaf jitros_xml jitros_tsv,,32000,36000,##	0.h:a	v:pred	ln	np:p	rn_pro.h:poss	other:g	ln	rn_np	rn_pro.h:poss	#	0.h:s	v:pred,,jitros
jitros_0010,mccypgreek,"To mesomerin irten i dhula,  e, xori to mboukkoman tu jaxame,  eferen tu je to mesomerkatikon.",#	To	mesomerin	irten	i	dhula	#	e	0	xori	to	mboukkoman	tu	jaxame	#	0	eferen	=tu	je	to	mesomerkatikon,#	the	noon	came-3sg	the	servant	#	ah	she_0	sees-3sg	the	breakfast	his	there	#	she_0	brought-3sg	=to.him	and	the	lunch,"At noon the servant came and she saw the breakfast there, she brought lunch too.",en,WORD_ALIGNED,,jitros_eaf jitros_xml jitros_tsv,,36000,40000,##	ln	np:other	v:pred	ln	np.h:s	#	other	0.h:a	v:pred	ln	np:p	rn_pro.h:poss	other:l	#	0.h:a	v:pred	=pro.h:g	other	ln	np:p,,jitros
